video_id,trending_date,title,channel_title,category_id,publish_date,time_frame,published_day_of_week,publish_country,views,likes,dislikes,comment_count
EJu_wPGFTw0,17.16.11,"Joel Embiid on win over Clippers, scuffle with Willie Reed and using social media | NBA on ESPN",NBA on ESPN,17,14-11-17,15:00 to 15:59,Tuesday,GB,10457,54,4,2
symdi5KSJts,17.16.11,Model Fei Fei Sun Perform Skin-Care Magic | Beauty Secrets | Vogue,Vogue,24,14-11-17,13:00 to 13:59,Tuesday,CA,212992,7049,209,365
7oRdswHqaf8,17.16.11,EARL GREY MACARONS- The Scran Line,The Scran Line,26,14-11-17,14:00 to 14:59,Tuesday,JP,31076,1814,36,523
nc99ccSXST0,17.16.11,5 Ice Cream Gadgets put to the Test,CrazyRussianHacker,28,12-11-17,21:00 to 21:59,Sunday,IN,1154280,27632,1096,2547
F388-6yDDpc,17.16.11,Cowboys vs. Falcons | NFL Week 10 Game Highlights,NFL,17,13-11-17,0:00 to 0:59,Monday,GB,984836,5855,530,3171
U0hAC8O7RoI,17.16.11,"I TOOK THE $3,000,000 LAMBO TO CARMAX! They offered me......",hp_overload,2,13-11-17,1:00 to 1:59,Monday,JP,549044,16946,2438,1626
kWIzjMWmuYk,17.16.11,UNISEX TRY ON/CLOTHING HAUL & GIVEAWAY!!!,Mark Ferris,23,14-11-17,17:00 to 17:59,Tuesday,BR,46545,5320,37,1596
oTObwUiXdYY,17.16.11,"7.3 Magnitude Earthquake Along Iraq-Iran Border Leaves At Least 400 Dead, 7,200 Injured | TIME",TIME,25,13-11-17,15:00 to 15:59,Monday,GB,32347,145,44,245
_-aDHxoblr4,17.16.11,Is It Dangerous To Talk To A Camera While Driving?,Tom Scott,27,13-11-17,16:00 to 16:59,Monday,IN,319797,17086,164,1356
kqmhCaF5_44,17.16.11,HANSON - Finally It's Christmas (Official Lyric Video),HANSON,10,14-11-17,16:00 to 16:59,Tuesday,IN,62620,1170,92,131
eNSN6qet1kE,17.16.11,HomeMade Electric Airplane,PeterSripol,28,13-11-17,15:00 to 15:59,Monday,CA,372775,21214,119,3433
39idVpFF7NQ,17.16.11,Roy Moore & Jeff Sessions Cold Open - SNL,Saturday Night Live,24,12-11-17,5:00 to 5:59,Sunday,CA,2567518,18425,2950,2776
kIUHDwn51y8,17.16.11,Evolution of the Jeep 4x4 Utility Vehicle | Donut Media,Donut Media,2,13-11-17,15:00 to 15:59,Monday,GB,120697,2376,38,492
TaTleo4cOs8,17.16.11,SHOPPING FOR NEW FISH!!!,The king of DIY,15,12-11-17,18:00 to 18:59,Sunday,GB,289923,8480,321,2011
5hEJsoDP2q4,17.16.11,"Justice League | Ã¢â‚¬Å“Come TogetherÃ¢â‚¬Â | Todrick Hall, J.Fla, Mario Bautista, Samantha Harvey, Clara Marz",todrickhall,24,14-11-17,17:00 to 17:59,Tuesday,IN,209442,19069,289,836
zNqCVTs38nU,17.16.11,Heidelberg's nifty hook-and-lateral to the left tackle,D3sports.com,17,13-11-17,2:00 to 2:59,Monday,AU,44320,130,77,42
